fid,station_id,date_from,date_to,altitude,latitude,longitude,name,state,fid_2,ADE,GF,BSG,RS,AGS,SDV_RS,GEN,BEZ,IBZ,BEM,NBD,SN_L,SN_R,SN_K,SN_V1,SN_V2,SN_G,FK_S3,NUTS,RS_0,AGS_0,WSK,DEBKG_ID
"2","216",2004-10-01,2021-02-11,"298",51.1143,7.8807,Attendorn-Neulisternohl,Nordrhein-Westfalen,"50","4","4","1","05966","05966","059660024024",Olpe,Kreis,"42",--,ja,"05","9","66","00","00","000",R,DEA59,"059660000000","05966000",2009/01/01,DEBKGDL20000DZXQ
"4","389",2009-11-01,2021-02-11,"436",51.0148,8.4318,"Berleburg, Bad-Arfeld",Nordrhein-Westfalen,"51","4","4","1","05970","05970","059700040040",Siegen-Wittgenstein,Kreis,"42",--,ja,"05","9","70","00","00","000",R,DEA5A,"059700000000","05970000",2009/01/01,DEBKGDL20000E1WH
"5","390",2004-07-01,2021-02-11,"610",50.9837,8.3683,"Berleburg, Bad-St�nzel",Nordrhein-Westfalen,"51","4","4","1","05970","05970","059700040040",Siegen-Wittgenstein,Kreis,"42",--,ja,"05","9","70","00","00","000",R,DEA5A,"059700000000","05970000",2009/01/01,DEBKGDL20000E1WH
"10","613",2004-11-01,2021-02-11,"206",51.5677,9.2324,Borgentreich,Nordrhein-Westfalen,"38","4","4","1","05762","05762","057620020020",Höxter,Kreis,"42",--,ja,"05","7","62","00","00","000",R,DEA44,"057620000000","05762000",2009/01/01,DEBKGDL20000E5W8
"12","644",2005-01-01,2021-02-11,"150",51.7049,9.1738,Brakel,Nordrhein-Westfalen,"38","4","4","1","05762","05762","057620020020",Höxter,Kreis,"42",--,ja,"05","7","62","00","00","000",R,DEA44,"057620000000","05762000",2009/01/01,DEBKGDL20000E5W8
"13","796",2004-11-01,2021-02-11,"412",50.7556,8.1257,Burbach-W�rgendorf,Nordrhein-Westfalen,"51","4","4","1","05970","05970","059700040040",Siegen-Wittgenstein,Kreis,"42",--,ja,"05","9","70","00","00","000",R,DEA5A,"059700000000","05970000",2009/01/01,DEBKGDL20000E1WH
"16","934",2004-10-01,2021-02-11,"88",51.7835,8.5658,Delbr�ck,Nordrhein-Westfalen,"41","4","4","1","05774","05774","057740032032",Paderborn,Kreis,"42",--,ja,"05","7","74","00","00","000",R,DEA47,"057740000000","05774000",2009/01/01,DEBKGDL20000E454
"23","1300",2004-06-01,2021-02-11,"351",51.254,8.1565,Eslohe,Nordrhein-Westfalen,"48","4","4","1","05958","05958","059580032032",Hochsauerlandkreis,Kreis,"42",--,nein,"05","9","58","00","00","000",R,DEA57,"059580000000","05958000",2009/11/01,DEBKGDL20000DYKC
"33","2483",1995-10-12,2021-02-11,"839",51.1803,8.4891,Kahler Asten,Nordrhein-Westfalen,"48","4","4","1","05958","05958","059580032032",Hochsauerlandkreis,Kreis,"42",--,nein,"05","9","58","00","00","000",R,DEA57,"059580000000","05958000",2009/11/01,DEBKGDL20000DYKC
"39","2947",2006-10-01,2021-02-11,"286",51.1333,8.0348,Lennestadt-Theten,Nordrhein-Westfalen,"50","4","4","1","05966","05966","059660024024",Olpe,Kreis,"42",--,ja,"05","9","66","00","00","000",R,DEA59,"059660000000","05966000",2009/01/01,DEBKGDL20000DZXQ
"42","3028",1995-09-01,2021-02-11,"157",51.7854,8.8388,"Lippspringe, Bad",Nordrhein-Westfalen,"41","4","4","1","05774","05774","057740032032",Paderborn,Kreis,"42",--,ja,"05","7","74","00","00","000",R,DEA47,"057740000000","05774000",2009/01/01,DEBKGDL20000E454
"43","3031",2004-07-01,2021-02-11,"92",51.6336,8.3945,Lippstadt-B�kenf�rde,Nordrhein-Westfalen,"52","4","4","1","05974","05974","059740040040",Soest,Kreis,"42",--,ja,"05","9","74","00","00","000",R,DEA5B,"059740000000","05974000",2009/01/01,DEBKGDL20000E47C
"45","3098",1995-09-01,2021-02-11,"387",51.2452,7.6425,L�denscheid,Nordrhein-Westfalen,"49","4","4","1","05962","05962","059620032032",Märkischer Kreis,Kreis,"42",--,nein,"05","9","62","00","00","000",R,DEA58,"059620000000","05962000",2009/01/01,DEBKGDL20000E12D
"46","3215",2007-06-01,2021-02-11,"375",51.1683,8.7125,Medebach-Berge,Nordrhein-Westfalen,"48","4","4","1","05958","05958","059580032032",Hochsauerlandkreis,Kreis,"42",--,nein,"05","9","58","00","00","000",R,DEA57,"059580000000","05958000",2009/11/01,DEBKGDL20000DYKC
"49","3499",2006-07-01,2021-02-11,"292",51.2915,7.853,Neuenrade-Blintrop,Nordrhein-Westfalen,"49","4","4","1","05962","05962","059620032032",Märkischer Kreis,Kreis,"42",--,nein,"05","9","62","00","00","000",R,DEA58,"059620000000","05962000",2009/01/01,DEBKGDL20000E12D
"55","4127",2005-01-01,2021-02-11,"347",50.9906,7.6958,Reichshof-Eckenhagen,Nordrhein-Westfalen,"24","4","4","1","05374","05374","053740012012",Oberbergischer Kreis,Kreis,"42",--,nein,"05","3","74","00","00","000",R,DEA2A,"053740000000","05374000",2009/01/01,DEBKGDL20000E6H4
"58","4313",2004-08-01,2021-02-11,"370",51.4966,8.4342,R�then,Nordrhein-Westfalen,"52","4","4","1","05974","05974","059740040040",Soest,Kreis,"42",--,ja,"05","9","74","00","00","000",R,DEA5B,"059740000000","05974000",2009/01/01,DEBKGDL20000E47C
"59","4368",2004-10-01,2021-02-11,"93",51.7098,8.5796,Salzkotten,Nordrhein-Westfalen,"41","4","4","1","05774","05774","057740032032",Paderborn,Kreis,"42",--,ja,"05","7","74","00","00","000",R,DEA47,"057740000000","05774000",2009/01/01,DEBKGDL20000E454
"61","4400",2004-08-01,2021-02-11,"171",51.5439,8.1808,"Sassendorf, Bad-Beusingsen",Nordrhein-Westfalen,"52","4","4","1","05974","05974","059740040040",Soest,Kreis,"42",--,ja,"05","9","74","00","00","000",R,DEA5B,"059740000000","05974000",2009/01/01,DEBKGDL20000E47C
"62","4488",2006-08-01,2021-02-11,"443",51.2127,8.2672,Schmallenberg-Sellinghausen,Nordrhein-Westfalen,"48","4","4","1","05958","05958","059580032032",Hochsauerlandkreis,Kreis,"42",--,nein,"05","9","58","00","00","000",R,DEA57,"059580000000","05958000",2009/11/01,DEBKGDL20000DYKC
"63","4692",2008-03-01,2018-12-01,"229",50.8534,7.9966,Siegen (Kl�ranlage),Nordrhein-Westfalen,"51","4","4","1","05970","05970","059700040040",Siegen-Wittgenstein,Kreis,"42",--,ja,"05","9","70","00","00","000",R,DEA5A,"059700000000","05970000",2009/01/01,DEBKGDL20000E1WH
"67","5347",1995-09-01,2021-02-09,"236",51.5039,9.1118,Warburg,Nordrhein-Westfalen,"38","4","4","1","05762","05762","057620020020",Höxter,Kreis,"42",--,ja,"05","7","62","00","00","000",R,DEA44,"057620000000","05762000",2009/01/01,DEBKGDL20000E5W8
"68","5360",2007-07-01,2021-02-11,"331",51.4319,8.2665,Warstein-Hirschberg,Nordrhein-Westfalen,"52","4","4","1","05974","05974","059740040040",Soest,Kreis,"42",--,ja,"05","9","74","00","00","000",R,DEA5B,"059740000000","05974000",2009/01/01,DEBKGDL20000E47C
"69","5468",2006-07-01,2020-10-01,"418",50.9377,7.8475,Wenden-D�rnscheid,Nordrhein-Westfalen,"50","4","4","1","05966","05966","059660024024",Olpe,Kreis,"42",--,ja,"05","9","66","00","00","000",R,DEA59,"059660000000","05966000",2009/01/01,DEBKGDL20000DZXQ
"70","5480",2003-09-10,2021-02-11,"85",51.5763,7.8879,Werl,Nordrhein-Westfalen,"52","4","4","1","05974","05974","059740040040",Soest,Kreis,"42",--,ja,"05","9","74","00","00","000",R,DEA5B,"059740000000","05974000",2009/01/01,DEBKGDL20000E47C
"72","5619",2004-12-01,2021-02-11,"360",51.1637,7.4234,Wipperf�rth-Gardeweg,Nordrhein-Westfalen,"24","4","4","1","05374","05374","053740012012",Oberbergischer Kreis,Kreis,"42",--,nein,"05","3","74","00","00","000",R,DEA2A,"053740000000","05374000",2009/01/01,DEBKGDL20000E6H4
"73","5699",2004-11-01,2021-02-11,"312",51.5427,8.7784,W�nnenberg-Eilern,Nordrhein-Westfalen,"41","4","4","1","05774","05774","057740032032",Paderborn,Kreis,"42",--,ja,"05","7","74","00","00","000",R,DEA47,"057740000000","05774000",2009/01/01,DEBKGDL20000E454
"78","6264",2004-06-01,2021-02-11,"457",51.414,8.65,Brilon-Th�len,Nordrhein-Westfalen,"48","4","4","1","05958","05958","059580032032",Hochsauerlandkreis,Kreis,"42",--,nein,"05","9","58","00","00","000",R,DEA57,"059580000000","05958000",2009/11/01,DEBKGDL20000DYKC
"79","6276",2004-11-01,2019-11-02,"235",51.4895,7.7813,Fr�ndenberg-Hohenheide,Nordrhein-Westfalen,"53","4","4","1","05978","05978","059780036036",Unna,Kreis,"42",--,ja,"05","9","78","00","00","000",R,DEA5C,"059780000000","05978000",2009/01/01,DEBKGDL20000E367
"80","6313",2004-12-01,2021-02-11,"440",51.2488,7.4672,Breckerfeld-Wengeberg,Nordrhein-Westfalen,"47","4","4","1","05954","05954","059540024024",Ennepe-Ruhr-Kreis,Kreis,"42",--,nein,"05","9","54","00","00","000",R,DEA56,"059540000000","05954000",2009/01/01,DEBKGDL20000E45O
"83","7330",2005-10-01,2021-02-11,"159",51.4633,7.978,Arnsberg-Neheim,Nordrhein-Westfalen,"48","4","4","1","05958","05958","059580032032",Hochsauerlandkreis,Kreis,"42",--,nein,"05","9","58","00","00","000",R,DEA57,"059580000000","05958000",2009/11/01,DEBKGDL20000DYKC
"91","13700",2008-05-01,2021-02-11,"205",51.3329,7.3411,Gevelsberg-Oberbr�king,Nordrhein-Westfalen,"47","4","4","1","05954","05954","059540024024",Ennepe-Ruhr-Kreis,Kreis,"42",--,nein,"05","9","54","00","00","000",R,DEA56,"059540000000","05954000",2009/01/01,DEBKGDL20000E45O
"92","13713",2007-11-01,2021-02-11,"386",51.0899,7.6289,Meinerzhagen-Redlendorf,Nordrhein-Westfalen,"49","4","4","1","05962","05962","059620032032",Märkischer Kreis,Kreis,"42",--,nein,"05","9","62","00","00","000",R,DEA58,"059620000000","05962000",2009/01/01,DEBKGDL20000E12D
